2019-04-25 18:31:29 [main] INFO  DataSourceTest:142 - All connection are closed 
2019-04-25 18:50:30 [Thread-4] INFO  MonitoringAlert:364 - Find Sensor datas succed
2019-04-25 18:50:31 [Thread-3] INFO  Server:87 - Client Connection recieved
2019-04-25 18:50:31 [Thread-25] INFO  RequestHandler:67 - Launch of treatement of client connection
2019-04-25 18:50:31 [Thread-25] INFO  RequestHandler:95 - Request Type accepted by server
2019-04-25 18:50:31 [Thread-25] INFO  RequestHandler:103 - Response send to client
2019-04-25 18:50:31 [Thread-25] INFO  RequestHandler:647 - Socket Closed by Server
2019-04-25 18:50:31 [Thread-25] INFO  RequestHandler:676 - Connection Closed
2019-04-25 18:50:31 [Thread-4] INFO  SensorDAO:314 - Sensors succesfully find in BDD
2019-04-25 18:50:31 [Thread-4] INFO  MonitoringAlert:364 - Find Sensor datas succed
2019-04-25 18:50:32 [Thread-3] INFO  Server:87 - Client Connection recieved
2019-04-25 18:50:32 [Thread-26] INFO  RequestHandler:67 - Launch of treatement of client connection
2019-04-25 18:50:32 [Thread-26] INFO  RequestHandler:95 - Request Type accepted by server
2019-04-25 18:50:32 [Thread-26] INFO  RequestHandler:103 - Response send to client
2019-04-25 18:50:32 [Thread-26] INFO  RequestHandler:647 - Socket Closed by Server
2019-04-25 18:50:32 [Thread-26] INFO  RequestHandler:676 - Connection Closed
2019-04-25 18:50:32 [Thread-4] INFO  SensorDAO:314 - Sensors succesfully find in BDD
2019-04-25 18:50:32 [Thread-4] INFO  MonitoringAlert:364 - Find Sensor datas succed
2019-04-25 18:50:33 [Thread-3] INFO  Server:87 - Client Connection recieved
2019-04-25 18:50:33 [Thread-27] INFO  RequestHandler:67 - Launch of treatement of client connection
2019-04-25 18:50:33 [Thread-27] INFO  RequestHandler:95 - Request Type accepted by server
2019-04-25 18:50:33 [Thread-27] INFO  RequestHandler:103 - Response send to client
2019-04-25 18:50:33 [Thread-27] INFO  RequestHandler:647 - Socket Closed by Server
2019-04-25 18:50:33 [Thread-27] INFO  RequestHandler:676 - Connection Closed
2019-04-25 18:50:34 [Thread-4] INFO  SensorDAO:314 - Sensors succesfully find in BDD
2019-04-25 18:50:34 [Thread-4] INFO  MonitoringAlert:364 - Find Sensor datas succed
2019-04-25 18:50:34 [Thread-3] INFO  Server:87 - Client Connection recieved
2019-04-25 18:50:34 [Thread-28] INFO  RequestHandler:67 - Launch of treatement of client connection
2019-04-25 18:50:34 [Thread-28] INFO  RequestHandler:95 - Request Type accepted by server
2019-04-25 18:50:34 [Thread-28] INFO  RequestHandler:103 - Response send to client
2019-04-25 18:50:34 [Thread-28] INFO  RequestHandler:647 - Socket Closed by Server
2019-04-25 18:50:34 [Thread-28] INFO  RequestHandler:676 - Connection Closed
2019-04-25 18:50:35 [Thread-4] INFO  SensorDAO:314 - Sensors succesfully find in BDD
2019-04-25 18:50:35 [Thread-4] INFO  MonitoringAlert:364 - Find Sensor datas succed
2019-04-25 18:50:35 [Thread-3] INFO  Server:87 - Client Connection recieved
2019-04-25 18:50:35 [Thread-29] INFO  RequestHandler:67 - Launch of treatement of client connection
2019-04-25 18:50:35 [Thread-29] INFO  RequestHandler:95 - Request Type accepted by server
2019-04-25 18:50:35 [Thread-29] INFO  RequestHandler:103 - Response send to client
2019-04-25 18:50:35 [Thread-29] INFO  RequestHandler:647 - Socket Closed by Server
2019-04-25 18:50:35 [Thread-29] INFO  RequestHandler:676 - Connection Closed
2019-04-25 18:50:36 [Thread-4] INFO  SensorDAO:314 - Sensors succesfully find in BDD
2019-04-25 18:50:36 [Thread-4] INFO  MonitoringAlert:364 - Find Sensor datas succed
2019-04-25 18:50:36 [Thread-3] INFO  Server:87 - Client Connection recieved
2019-04-25 18:50:36 [Thread-30] INFO  RequestHandler:67 - Launch of treatement of client connection
2019-04-25 18:50:36 [Thread-30] INFO  RequestHandler:95 - Request Type accepted by server
2019-04-25 18:50:36 [Thread-30] INFO  RequestHandler:103 - Response send to client
2019-04-25 18:50:36 [Thread-30] INFO  RequestHandler:647 - Socket Closed by Server
2019-04-25 18:50:36 [Thread-30] INFO  RequestHandler:676 - Connection Closed
2019-04-25 18:50:37 [Thread-4] INFO  SensorDAO:314 - Sensors succesfully find in BDD
2019-04-25 18:50:37 [Thread-4] INFO  MonitoringAlert:364 - Find Sensor datas succed
2019-04-25 18:50:37 [Thread-3] INFO  Server:87 - Client Connection recieved
2019-04-25 18:50:37 [Thread-31] INFO  RequestHandler:67 - Launch of treatement of client connection
2019-04-25 18:50:37 [Thread-31] INFO  RequestHandler:95 - Request Type accepted by server
2019-04-25 18:50:37 [Thread-31] INFO  RequestHandler:103 - Response send to client
2019-04-25 18:50:37 [Thread-31] INFO  RequestHandler:647 - Socket Closed by Server
2019-04-25 18:50:37 [Thread-31] INFO  RequestHandler:676 - Connection Closed
2019-04-25 18:50:38 [Thread-4] INFO  SensorDAO:314 - Sensors succesfully find in BDD
2019-04-25 18:50:38 [Thread-4] INFO  MonitoringAlert:364 - Find Sensor datas succed
2019-04-25 18:50:38 [Thread-3] INFO  Server:87 - Client Connection recieved
2019-04-25 18:50:38 [Thread-32] INFO  RequestHandler:67 - Launch of treatement of client connection
2019-04-25 18:50:38 [Thread-32] INFO  RequestHandler:131 - Request Type accepted by server
2019-04-25 18:50:38 [Thread-32] INFO  RequestHandler:161 - Request received on server
2019-04-25 18:50:38 [Thread-3] INFO  Server:87 - Client Connection recieved
2019-04-25 18:50:38 [Thread-33] INFO  RequestHandler:67 - Launch of treatement of client connection
2019-04-25 18:50:38 [Thread-33] INFO  RequestHandler:95 - Request Type accepted by server
2019-04-25 18:50:38 [Thread-33] INFO  RequestHandler:103 - Response send to client
2019-04-25 18:50:38 [Thread-33] INFO  RequestHandler:647 - Socket Closed by Server
2019-04-25 18:50:38 [Thread-33] INFO  RequestHandler:676 - Connection Closed
2019-04-25 18:50:38 [Thread-32] INFO  ResidentDAO:196 - Impossible to get residents datas from BDD org.postgresql.util.PSQLException
2019-04-25 18:50:38 [Thread-32] INFO  RequestHandler:166 - Response send to client
2019-04-25 18:50:38 [Thread-32] INFO  RequestHandler:647 - Socket Closed by Server
2019-04-25 18:50:38 [Thread-32] INFO  RequestHandler:676 - Connection Closed
2019-04-25 18:50:38 [Thread-3] INFO  Server:87 - Client Connection recieved
2019-04-25 18:50:38 [Thread-34] INFO  RequestHandler:67 - Launch of treatement of client connection
2019-04-25 18:50:38 [Thread-34] INFO  RequestHandler:131 - Request Type accepted by server
2019-04-25 18:50:38 [Thread-34] INFO  RequestHandler:161 - Request received on server
2019-04-25 18:50:38 [Thread-34] INFO  ResidentDAO:196 - Impossible to get residents datas from BDD org.postgresql.util.PSQLException
2019-04-25 18:50:38 [Thread-34] INFO  RequestHandler:166 - Response send to client
2019-04-25 18:50:38 [Thread-34] INFO  RequestHandler:647 - Socket Closed by Server
2019-04-25 18:50:38 [Thread-34] INFO  RequestHandler:676 - Connection Closed
2019-04-25 18:50:39 [Thread-4] INFO  SensorDAO:314 - Sensors succesfully find in BDD
2019-04-25 18:50:39 [Thread-4] INFO  MonitoringAlert:364 - Find Sensor datas succed
2019-04-25 18:50:39 [Thread-3] INFO  Server:87 - Client Connection recieved
2019-04-25 18:50:39 [Thread-35] INFO  RequestHandler:67 - Launch of treatement of client connection
2019-04-25 18:50:39 [Thread-35] INFO  RequestHandler:95 - Request Type accepted by server
2019-04-25 18:50:39 [Thread-35] INFO  RequestHandler:103 - Response send to client
2019-04-25 18:50:39 [Thread-35] INFO  RequestHandler:647 - Socket Closed by Server
2019-04-25 18:50:39 [Thread-35] INFO  RequestHandler:676 - Connection Closed
2019-04-25 18:50:40 [Thread-4] INFO  SensorDAO:314 - Sensors succesfully find in BDD
2019-04-25 18:50:40 [Thread-4] INFO  MonitoringAlert:364 - Find Sensor datas succed
2019-04-25 18:50:40 [Thread-3] INFO  Server:87 - Client Connection recieved
2019-04-25 18:50:40 [Thread-36] INFO  RequestHandler:67 - Launch of treatement of client connection
2019-04-25 18:50:40 [Thread-36] INFO  RequestHandler:95 - Request Type accepted by server
2019-04-25 18:50:40 [Thread-36] INFO  RequestHandler:103 - Response send to client
2019-04-25 18:50:40 [Thread-36] INFO  RequestHandler:647 - Socket Closed by Server
2019-04-25 18:50:40 [Thread-36] INFO  RequestHandler:676 - Connection Closed
2019-04-25 18:50:41 [Thread-4] INFO  SensorDAO:314 - Sensors succesfully find in BDD
2019-04-25 18:50:41 [Thread-4] INFO  MonitoringAlert:364 - Find Sensor datas succed
2019-04-25 18:50:41 [Thread-3] INFO  Server:87 - Client Connection recieved
